scode,polity,year
AFG,-6,1800
AFG,-6,1801
AFG,-6,1802
AFG,-6,1803
AFG,-6,1804
AFG,-6,1805
AFG,-6,1806
AFG,-6,1807
AFG,-6,1808
AFG,-6,1809
AFG,-6,1810
AFG,-6,1811
AFG,-6,1812
AFG,-6,1813
AFG,-6,1814
AFG,-6,1815
AFG,-6,1816
AFG,-6,1817
AFG,-6,1818
AFG,-6,1819
AFG,-6,1820
AFG,-6,1821
AFG,-6,1822
AFG,-6,1823
AFG,-6,1824
AFG,-6,1825
AFG,-6,1826
AFG,-6,1827
AFG,-6,1828
AFG,-6,1829
AFG,-6,1830
AFG,-6,1831
AFG,-6,1832
AFG,-6,1833
AFG,-6,1834
AFG,-6,1835
AFG,-6,1836
AFG,-6,1837
AFG,-6,1838
AFG,-6,1839
AFG,-6,1840
AFG,-6,1841
AFG,-6,1842
AFG,-6,1843
AFG,-6,1844
AFG,-6,1845
AFG,-6,1846
AFG,-6,1847
AFG,-6,1848
AFG,-6,1849
AFG,-6,1850
AFG,-6,1851
AFG,-6,1852
AFG,-6,1853
AFG,-6,1854
AFG,-6,1855
AFG,-6,1856
AFG,-6,1857
AFG,-6,1858
AFG,-6,1859
AFG,-6,1860
AFG,-6,1861
AFG,-6,1862
AFG,-6,1863
AFG,-6,1864
AFG,-6,1865
AFG,-6,1866
AFG,-6,1867
AFG,-6,1868
AFG,-6,1869
AFG,-6,1870
AFG,-6,1871
AFG,-6,1872
AFG,-6,1873
AFG,-6,1874
AFG,-6,1875
AFG,-6,1876
AFG,-6,1877
AFG,-6,1878
AFG,-6,1879
AFG,-6,1880
AFG,-6,1881
AFG,-6,1882
AFG,-6,1883
AFG,-6,1884
AFG,-6,1885
AFG,-6,1886
AFG,-6,1887
AFG,-6,1888
AFG,-6,1889
AFG,-6,1890
AFG,-6,1891
AFG,-6,1892
AFG,-6,1893
AFG,-6,1894
AFG,-6,1895
AFG,-6,1896
AFG,-6,1897
AFG,-6,1898
AFG,-6,1899
AFG,-6,1900
AFG,-6,1901
AFG,-6,1902
AFG,-6,1903
AFG,-6,1904
AFG,-6,1905
AFG,-6,1906
AFG,-6,1907
AFG,-6,1908
AFG,-6,1909
AFG,-6,1910
AFG,-6,1911
AFG,-6,1912
AFG,-6,1913
AFG,-6,1914
AFG,-6,1915
AFG,-6,1916
AFG,-6,1917
AFG,-6,1918
AFG,-6,1919
AFG,-6,1920
AFG,-6,1921
AFG,-6,1922
AFG,-6,1923
AFG,-6,1924
AFG,-6,1925
AFG,-6,1926
AFG,-6,1927
AFG,-6,1928
AFG,-6,1929
AFG,-6,1930
AFG,-6,1931
AFG,-6,1932
AFG,-6,1933
AFG,-6,1934
AFG,-8,1935
AFG,-8,1936
AFG,-8,1937
AFG,-8,1938
AFG,-8,1939
AFG,-8,1940
AFG,-8,1941
AFG,-8,1942
AFG,-8,1943
AFG,-8,1944
AFG,-10,1945
AFG,-10,1946
AFG,-10,1947
AFG,-10,1948
AFG,-10,1949
AFG,-10,1950
AFG,-10,1951
AFG,-10,1952
AFG,-10,1953
AFG,-10,1954
AFG,-10,1955
AFG,-10,1956
AFG,-10,1957
AFG,-10,1958
AFG,-10,1959
AFG,-10,1960
AFG,-10,1961
AFG,-10,1962
AFG,-10,1963
AFG,-7,1964
AFG,-7,1965
AFG,-7,1966
AFG,-7,1967
AFG,-7,1968
AFG,-7,1969
AFG,-7,1970
AFG,-7,1971
AFG,-7,1972
AFG,-7,1973
AFG,-7,1974
AFG,-7,1975
AFG,-7,1977
AFG,-77,1978
AFG,-66,1979
AFG,-66,1980
AFG,-66,1981
AFG,-66,1982
AFG,-66,1983
AFG,-66,1984
AFG,-66,1985
AFG,-66,1986
AFG,-66,1987
AFG,-66,1988
AFG,-8,1989
AFG,-8,1990
